country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","14-04-2025 13:00:00",16.7602,77.1428,NH3,2,3,3
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","14-04-2025 13:00:00",16.7602,77.1428,SO2,3,25,14
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","14-04-2025 13:00:00",16.7602,77.1428,CO,10,28,20
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","14-04-2025 13:00:00",10.073232,76.302765,PM10,45,81,58
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","14-04-2025 13:00:00",10.073232,76.302765,NH3,1,1,1
India,Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB","14-04-2025 13:00:00",10.073232,76.302765,OZONE,11,17,14
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","14-04-2025 13:00:00",8.8787,76.6073,PM10,34,67,61
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","14-04-2025 13:00:00",8.8787,76.6073,SO2,2,5,3
India,Kerala,Thiruvananthapuram,"Kariavattom, Thiruvananthapuram - Kerala PCB","14-04-2025 13:00:00",8.563700,76.886500,PM2.5,42,47,44
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","14-04-2025 13:00:00",12.889250,74.853000,PM10,44,62,51
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","14-04-2025 13:00:00",12.889250,74.853000,NO2,8,11,10
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","14-04-2025 13:00:00",12.21041,76.37376,PM10,29,62,45
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","14-04-2025 13:00:00",12.21041,76.37376,CO,6,38,24
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","14-04-2025 13:00:00",13.940000,75.555917,NO2,20,29,24
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","14-04-2025 13:00:00",13.940000,75.555917,SO2,2,6,4
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","14-04-2025 13:00:00",13.940000,75.555917,CO,12,40,22
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","14-04-2025 13:00:00",13.940000,75.555917,OZONE,7,81,15
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","14-04-2025 13:00:00",13.377516,77.099072,PM10,104,236,145
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","14-04-2025 13:00:00",23.142888,79.916147,OZONE,28,110,64
India,"Madhya Pradesh",Jabalpur,"Suhagi, Jabalpur - JMC","14-04-2025 13:00:00",23.218135,79.957770,PM10,38,159,61
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","14-04-2025 13:00:00",23.50016,80.23284,PM2.5,13,54,33
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","14-04-2025 13:00:00",23.50016,80.23284,NO2,6,55,26
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","14-04-2025 13:00:00",24.2613009,80.7231783,NO2,11,11,11
